timestamp,date,blood_pressure,label
1610637998.8750272,2021-01-14T15:26:38.875027Z,104,other
1610637998.8900273,2021-01-14T15:26:38.890027Z,101,other
1610637998.9050274,2021-01-14T15:26:38.905027Z,98,other
1610637998.9200275,2021-01-14T15:26:38.920027Z,95,other
1610637998.9350276,2021-01-14T15:26:38.935028Z,93,other
1610637998.9500277,2021-01-14T15:26:38.950028Z,91,other
1610637998.9650278,2021-01-14T15:26:38.965028Z,89,other
1610637998.980028,2021-01-14T15:26:38.980028Z,87,other
1610637998.995028,2021-01-14T15:26:38.995028Z,86,other
1610637999.010028,2021-01-14T15:26:39.010028Z,84,other
1610637999.0250282,2021-01-14T15:26:39.025028Z,83,other
1610637999.0400283,2021-01-14T15:26:39.040028Z,83,other
1610637999.0550284,2021-01-14T15:26:39.055028Z,85,other
1610637999.0700283,2021-01-14T15:26:39.070029Z,89,other
1610637999.0850286,2021-01-14T15:26:39.085029Z,97,other
1610637999.1000288,2021-01-14T15:26:39.100029Z,108,other
1610637999.1150289,2021-01-14T15:26:39.115029Z,120,other
1610637999.130029,2021-01-14T15:26:39.130029Z,132,other
1610637999.145029,2021-01-14T15:26:39.145029Z,144,other
1610637999.1600292,2021-01-14T15:26:39.160029Z,154,other
1610637999.1750293,2021-01-14T15:26:39.175029Z,161,other
1610637999.1900294,2021-01-14T15:26:39.190029Z,166,other
1610637999.2050295,2021-01-14T15:26:39.205029Z,168,other
1610637999.2200296,2021-01-14T15:26:39.220030Z,168,other
1610637999.2350297,2021-01-14T15:26:39.235030Z,166,other
1610637999.2500298,2021-01-14T15:26:39.250030Z,163,other
1610637999.26503,2021-01-14T15:26:39.265030Z,159,other
1610637999.28003,2021-01-14T15:26:39.280030Z,154,other
1610637999.29503,2021-01-14T15:26:39.295030Z,149,other
1610637999.3100302,2021-01-14T15:26:39.310030Z,144,other
1610637999.3250303,2021-01-14T15:26:39.325030Z,139,other
1610637999.3400304,2021-01-14T15:26:39.340030Z,134,other
1610637999.3550303,2021-01-14T15:26:39.355031Z,130,other
1610637999.3700306,2021-01-14T15:26:39.370031Z,126,other
1610637999.3850307,2021-01-14T15:26:39.385031Z,124,other
1610637999.4000309,2021-01-14T15:26:39.400031Z,121,other
1610637999.415031,2021-01-14T15:26:39.415031Z,119,other
1610637999.430031,2021-01-14T15:26:39.430031Z,116,other
1610637999.4450312,2021-01-14T15:26:39.445031Z,114,other
1610637999.4600313,2021-01-14T15:26:39.460031Z,112,other
1610637999.4750314,2021-01-14T15:26:39.475031Z,109,other
1610637999.4900317,2021-01-14T15:26:39.490031Z,107,other
1610637999.5050316,2021-01-14T15:26:39.505032Z,105,other
1610637999.5200317,2021-01-14T15:26:39.520032Z,103,other
1610637999.5350318,2021-01-14T15:26:39.535032Z,101,other
1610637999.550032,2021-01-14T15:26:39.550032Z,98,other
1610637999.565032,2021-01-14T15:26:39.565032Z,96,other
1610637999.580032,2021-01-14T15:26:39.580032Z,94,other
1610637999.5950322,2021-01-14T15:26:39.595032Z,92,other
1610637999.6100323,2021-01-14T15:26:39.610032Z,90,other
1610637999.6250324,2021-01-14T15:26:39.625032Z,89,other
1610637999.6400323,2021-01-14T15:26:39.640033Z,88,other
1610637999.6550326,2021-01-14T15:26:39.655033Z,88,other
1610637999.6700327,2021-01-14T15:26:39.670033Z,88,other
1610637999.6850328,2021-01-14T15:26:39.685033Z,89,other
1610637999.700033,2021-01-14T15:26:39.700033Z,90,other
1610637999.715033,2021-01-14T15:26:39.715033Z,92,other
1610637999.7300332,2021-01-14T15:26:39.730033Z,95,other
1610637999.7450333,2021-01-14T15:26:39.745033Z,99,other
1610637999.7600334,2021-01-14T15:26:39.760033Z,104,other
1610637999.7750337,2021-01-14T15:26:39.775033Z,113,other
1610637999.7900336,2021-01-14T15:26:39.790034Z,124,other
1610637999.8050337,2021-01-14T15:26:39.805034Z,138,other
1610637999.8200338,2021-01-14T15:26:39.820034Z,153,other
1610637999.835034,2021-01-14T15:26:39.835034Z,168,other
1610637999.850034,2021-01-14T15:26:39.850034Z,183,other
1610637999.865034,2021-01-14T15:26:39.865034Z,194,other
1610637999.8800342,2021-01-14T15:26:39.880034Z,203,other
1610637999.8950343,2021-01-14T15:26:39.895034Z,208,other
1610637999.9100344,2021-01-14T15:26:39.910034Z,210,other
1610637999.9250343,2021-01-14T15:26:39.925035Z,210,other
1610637999.9400346,2021-01-14T15:26:39.940035Z,207,other
1610637999.9550347,2021-01-14T15:26:39.955035Z,203,other
1610637999.9700348,2021-01-14T15:26:39.970035Z,198,other
1610637999.985035,2021-01-14T15:26:39.985035Z,192,other
1610638000.000035,2021-01-14T15:26:40.000035Z,186,other
1610638000.0150352,2021-01-14T15:26:40.015035Z,180,other
1610638000.0300353,2021-01-14T15:26:40.030035Z,175,other
1610638000.0450354,2021-01-14T15:26:40.045035Z,171,other
1610638000.0600357,2021-01-14T15:26:40.060035Z,167,other
1610638000.0750356,2021-01-14T15:26:40.075036Z,164,other
1610638000.0900357,2021-01-14T15:26:40.090036Z,161,other
1610638000.1050358,2021-01-14T15:26:40.105036Z,158,other
1610638000.120036,2021-01-14T15:26:40.120036Z,154,other
1610638000.135036,2021-01-14T15:26:40.135036Z,150,other
1610638000.150036,2021-01-14T15:26:40.150036Z,146,other
1610638000.1650362,2021-01-14T15:26:40.165036Z,142,other
1610638000.1800363,2021-01-14T15:26:40.180036Z,137,other
1610638000.1950364,2021-01-14T15:26:40.195036Z,132,other
1610638000.2100365,2021-01-14T15:26:40.210037Z,127,other
1610638000.2250366,2021-01-14T15:26:40.225037Z,123,other
1610638000.2400367,2021-01-14T15:26:40.240037Z,119,other
1610638000.2550368,2021-01-14T15:26:40.255037Z,114,other
1610638000.270037,2021-01-14T15:26:40.270037Z,109,other
1610638000.285037,2021-01-14T15:26:40.285037Z,105,other
1610638000.3000371,2021-01-14T15:26:40.300037Z,101,other
1610638000.3150373,2021-01-14T15:26:40.315037Z,98,other
1610638000.3300374,2021-01-14T15:26:40.330037Z,95,other
1610638000.3450377,2021-01-14T15:26:40.345037Z,93,other
1610638000.3600376,2021-01-14T15:26:40.360038Z,90,other
1610638000.3750377,2021-01-14T15:26:40.375038Z,88,other
1610638000.3900378,2021-01-14T15:26:40.390038Z,87,other
1610638000.405038,2021-01-14T15:26:40.405038Z,86,other
1610638000.420038,2021-01-14T15:26:40.420038Z,85,other
1610638000.435038,2021-01-14T15:26:40.435038Z,85,other
1610638000.4500382,2021-01-14T15:26:40.450038Z,88,other
1610638000.4650383,2021-01-14T15:26:40.465038Z,93,other
1610638000.4800384,2021-01-14T15:26:40.480038Z,100,other
1610638000.4950385,2021-01-14T15:26:40.495039Z,110,other
1610638000.5100386,2021-01-14T15:26:40.510039Z,122,other
